,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Cabedelo,BR,-6.9811,-34.8339,77.67,78,87,10.13,light rain
80,Surab,PK,28.4914,66.2585,44.22,21,0,3.76,clear sky
81,Khatanga,RU,71.9667,102.5,6.37,80,99,17.74,overcast clouds
82,Baykit,RU,61.67,96.37,-20.7,100,69,1.45,broken clouds
83,Pacific Grove,US,36.6177,-121.9166,70.43,69,0,5.01,clear sky
84,Palmerston,AU,-12.486,130.9833,82.92,83,75,12.66,broken clouds
85,Kollam,IN,8.8833,76.6,76.87,72,21,12.66,few clouds
86,Hamilton,US,39.1834,-84.5333,36.36,67,100,1.01,overcast clouds
87,Dingle,PH,10.9995,122.6711,79.25,86,78,6.78,broken clouds
88,Lompoc,US,34.6391,-120.4579,70.38,47,0,5.75,clear sky
89,Leningradskiy,RU,69.3833,178.4167,-16.96,94,45,1.59,scattered clouds
90,Port-Gentil,GA,-0.7193,8.7815,79.77,82,100,9.66,overcast clouds
91,Qaanaaq,GL,77.484,-69.3632,-9.49,71,31,7.72,scattered clouds
92,Butaritari,KI,3.0707,172.7902,82.38,77,29,15.99,scattered clouds
93,Pevek,RU,69.7008,170.3133,-27.31,99,22,2.95,few clouds
94,Jalu,LY,29.0331,21.5482,50.07,73,64,7.94,broken clouds
95,Veinticinco De Mayo,AR,-35.4323,-60.1727,67.98,64,0,4.34,clear sky
96,Constitucion,CL,-35.3333,-72.4167,59.58,94,17,5.48,few clouds
97,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,71.89,97,100,1.7,heavy intensity rain
98,Jacksonville,US,30.3322,-81.6556,53.1,83,75,1.01,broken clouds
99,Guerrero Negro,MX,27.9769,-114.0611,69.48,31,66,9.93,broken clouds
100,Vila Velha,BR,-20.3297,-40.2925,78.94,85,0,11.01,clear sky
101,Fairbanks,US,64.8378,-147.7164,-4.4,75,75,0.0,broken clouds
102,Chuy,UY,-33.6971,-53.4616,66.85,64,74,8.08,broken clouds
103,Semiletka,RU,55.3603,54.6153,0.32,98,88,4.65,overcast clouds
104,Ranong,TH,9.9658,98.6348,74.75,91,54,4.74,broken clouds
105,Birao,CF,10.2849,22.7882,68.41,18,88,10.78,overcast clouds
106,Bredasdorp,ZA,-34.5322,20.0403,65.52,77,3,6.91,clear sky
107,Srednekolymsk,RU,67.45,153.6833,-34.76,98,94,4.09,overcast clouds
108,Yinchuan,CN,38.4681,106.2731,24.73,41,100,1.19,overcast clouds
109,Mayo,US,38.8876,-76.5119,34.2,60,0,1.99,clear sky
110,Vao,NC,-22.6667,167.4833,78.8,85,76,19.84,light rain
111,Gravdal,NO,68.1214,13.5031,31.68,58,100,21.88,light snow
112,Matelandia,BR,-25.2408,-53.9964,72.48,95,100,1.66,light rain
113,Gumdag,TM,39.2061,54.5906,44.53,87,100,12.75,overcast clouds
114,Dongsheng,CN,39.8161,109.9776,13.62,39,58,3.87,broken clouds
115,Clyde River,CA,70.4692,-68.5914,-7.37,84,90,23.02,light snow
116,Bac Lieu,VN,9.285,105.7244,76.05,82,94,4.32,overcast clouds
117,Banamba,ML,13.55,-7.45,71.06,12,19,7.61,few clouds
118,Portland,US,45.5234,-122.6762,54.55,56,0,3.0,clear sky
119,Acapulco,MX,16.8634,-99.8901,84.02,70,0,5.75,clear sky
120,Itarema,BR,-2.9248,-39.9167,77.16,82,100,8.48,moderate rain
121,Puerto Escondido,MX,15.85,-97.0667,85.03,70,20,6.91,few clouds
122,Kribi,CM,2.95,9.9167,79.03,83,100,5.75,overcast clouds
123,Coquimbo,CL,-29.9533,-71.3436,64.13,82,20,10.36,few clouds
124,Kapaa,US,22.0752,-159.319,80.11,64,0,1.01,clear sky
125,Severo-Kurilsk,RU,50.6789,156.125,24.64,84,96,38.34,light snow
126,Yellowknife,CA,62.456,-114.3525,-1.68,84,75,2.3,broken clouds
127,Kruisfontein,ZA,-34.0033,24.7314,65.88,85,100,7.54,overcast clouds
128,Ribeira Grande,PT,38.5167,-28.7,60.19,75,13,12.82,few clouds
129,Tautira,PF,-17.7333,-149.15,84.0,75,14,16.35,light rain
130,Karpogory,RU,64.0019,44.4451,12.61,93,100,7.14,overcast clouds
131,Charters Towers,AU,-20.1,146.2667,74.77,86,100,12.82,overcast clouds
132,Kikwit,CD,-5.041,18.8162,71.65,80,43,1.43,scattered clouds
133,Kavaratti,IN,10.5669,72.642,78.85,73,67,9.62,broken clouds
134,Minab,IR,27.1467,57.0801,60.3,94,0,0.0,clear sky
135,San Cristobal,VE,7.7669,-72.225,73.58,89,70,2.93,broken clouds
136,Busselton,AU,-33.65,115.3333,61.09,60,0,11.95,clear sky
137,Port Elizabeth,ZA,-33.918,25.5701,68.29,88,0,8.05,clear sky
138,Evensk,RU,61.95,159.2333,19.42,83,100,37.07,light snow
139,Aykhal,RU,66.0,111.5,-15.47,98,54,6.85,broken clouds
140,Avera,US,33.194,-82.5271,47.71,42,5,5.37,clear sky
141,Lyubech,UA,51.7026,30.6569,32.05,97,100,13.67,light snow
142,Saryozek,KZ,44.3583,77.9753,13.41,73,4,4.52,clear sky
143,Cururupu,BR,-1.8283,-44.8683,72.7,97,100,1.43,overcast clouds
144,Tateyama,JP,34.9833,139.8667,48.47,97,99,8.93,overcast clouds
145,Byron Bay,AU,-28.65,153.6167,80.55,74,41,8.99,scattered clouds
146,Ilulissat,GL,69.2167,-51.1,6.82,78,90,12.66,light shower snow
147,Smithers,CA,54.7804,-127.1743,25.12,74,40,5.75,scattered clouds
148,Luwuk,ID,-0.9516,122.7875,80.76,84,100,1.61,overcast clouds
149,Sitka,US,57.0531,-135.33,44.49,65,100,14.97,light rain
150,Okhotsk,RU,59.3833,143.3,-7.83,78,26,18.39,scattered clouds
151,Jamestown,US,42.097,-79.2353,26.1,62,100,8.01,overcast clouds
152,Talnakh,RU,69.4865,88.3972,4.21,93,100,16.17,light snow
153,Madimba,TZ,-10.4,40.3333,76.91,81,86,4.97,overcast clouds
154,Pangnirtung,CA,66.1451,-65.7125,-11.2,58,90,2.3,light snow
155,Tura,IN,25.5198,90.2201,47.64,66,0,2.57,clear sky
156,Nabire,ID,-3.3667,135.4833,83.44,67,64,0.29,broken clouds
157,Ola,RU,59.5833,151.2833,3.25,79,100,13.06,overcast clouds
158,Lata,PT,40.1629,-8.3327,48.04,74,0,4.5,clear sky
159,Imbituba,BR,-28.24,-48.6703,73.81,85,100,14.81,overcast clouds
160,Mar Del Plata,AR,-38.0023,-57.5575,61.88,73,20,7.0,few clouds
