City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Selcuk,TR,2022-01-25 22:40:06,37.9514,27.3685,39.02,84,12,7.11
67,Cedar City,US,2022-01-25 22:40:35,37.6775,-113.0619,31.19,65,100,16.11
68,Kaeo,NZ,2022-01-25 22:40:35,-35.1,173.7833,73.33,98,70,10.33
69,Busselton,AU,2022-01-25 22:40:36,-33.65,115.3333,61.09,71,0,9.42
70,Sisimiut,GL,2022-01-25 22:40:36,66.9395,-53.6735,14.27,67,100,20.78
71,Laguna,US,2022-01-25 22:40:37,38.421,-121.4238,70.21,46,0,1.99
72,Maragogi,BR,2022-01-25 22:40:37,-9.0122,-35.2225,80.28,77,18,10.98
73,Nikolskoye,RU,2022-01-25 22:40:38,59.7035,30.7861,17.49,99,68,4.14
74,Kiama,AU,2022-01-25 22:40:38,-34.6833,150.8667,76.57,73,80,3.0
75,Sept-Iles,CA,2022-01-25 22:36:07,50.2001,-66.3821,7.05,87,75,3.0
76,La Ronge,CA,2022-01-25 22:40:39,55.1001,-105.2842,8.85,72,100,11.5
77,General Roca,AR,2022-01-25 22:40:39,-39.0333,-67.5833,88.2,24,8,12.57
78,Zarand,IR,2022-01-25 22:40:39,30.8127,56.564,43.21,41,0,4.99
79,Khatanga,RU,2022-01-25 22:40:40,71.9667,102.5,2.03,84,48,16.22
80,Stokmarknes,NO,2022-01-25 22:40:40,68.5646,14.9108,34.5,93,75,4.61
81,San Andres,CO,2022-01-25 22:40:41,12.5847,-81.7006,84.22,65,40,8.05
82,Kodiak,US,2022-01-25 22:40:41,57.79,-152.4072,31.51,55,0,4.61
83,Diamantino,BR,2022-01-25 22:40:42,-14.4086,-56.4461,80.85,69,100,0.96
84,Quatre Cocos,MU,2022-01-25 22:40:42,-20.2078,57.7625,77.11,71,62,14.88
85,Adrar,MR,2022-01-25 22:40:42,20.5022,-10.0711,69.57,15,98,9.62
86,Nemuro,JP,2022-01-25 22:40:43,43.3236,145.575,24.22,75,80,3.13
87,Kavieng,PG,2022-01-25 22:40:44,-2.5744,150.7967,84.65,70,100,8.81
88,Saldanha,ZA,2022-01-25 22:40:44,-33.0117,17.9442,64.45,87,0,17.76
89,Hede,CN,2022-01-25 22:40:45,33.7681,120.2517,34.5,78,53,6.35
90,Nanortalik,GL,2022-01-25 22:41:46,60.1432,-45.2371,26.44,91,100,10.27
91,Hermanus,ZA,2022-01-25 22:41:46,-34.4187,19.2345,63.81,77,88,13.8
92,Yellowknife,CA,2022-01-25 22:41:47,62.456,-114.3525,2.41,84,40,10.36
93,Lithakia,GR,2022-01-25 22:41:47,37.7167,20.8333,38.59,37,0,5.03
94,Jumla,NP,2022-01-25 22:41:48,29.2747,82.1838,26.22,76,14,4.63
95,Kashi,CN,2022-01-25 22:41:48,39.4547,75.9797,25.81,46,20,4.47
96,Pevek,RU,2022-01-25 22:41:49,69.7008,170.3133,-29.99,100,84,1.77
97,Bandiagara,ML,2022-01-25 22:41:49,14.3501,-3.6104,67.23,12,29,9.84
98,Kapaa,US,2022-01-25 22:41:50,22.0752,-159.319,78.78,67,20,1.99
99,Tasiilaq,GL,2022-01-25 22:41:50,65.6145,-37.6368,17.76,69,23,8.52
100,Bethel,US,2022-01-25 22:38:14,41.3712,-73.414,37.49,59,0,5.75
101,Elliot,ZA,2022-01-25 22:41:51,-31.3333,27.85,57.2,89,17,1.14
102,Rocha,UY,2022-01-25 22:41:51,-34.4833,-54.3333,75.38,92,100,5.44
103,Marzuq,YE,2022-01-25 22:41:52,14.4,46.4667,57.78,30,7,2.37
104,Port Elizabeth,ZA,2022-01-25 22:41:52,-33.918,25.5701,70.11,88,100,11.5
105,Richards Bay,ZA,2022-01-25 22:41:53,-28.783,32.0377,73.72,92,39,2.86
106,Kaitangata,NZ,2022-01-25 22:37:01,-46.2817,169.8464,59.94,86,55,6.46
107,Longyearbyen,SJ,2022-01-25 22:40:24,78.2186,15.6401,17.44,57,40,19.57
108,Liberal,US,2022-01-25 22:41:54,37.0431,-100.921,29.43,59,100,8.05
109,Beberibe,BR,2022-01-25 22:40:38,-4.1797,-38.1306,83.16,76,100,10.29
110,Hilo,US,2022-01-25 22:40:37,19.7297,-155.09,78.24,69,100,6.91
111,Carnarvon,AU,2022-01-25 22:41:55,-24.8667,113.6333,75.27,78,0,14.97
112,Hun,LY,2022-01-25 22:41:56,29.1268,15.9477,44.64,72,59,7.34
113,Airai,TL,2022-01-25 22:41:56,-8.9266,125.4092,64.87,78,92,2.64
114,Tiarei,PF,2022-01-25 22:41:57,-17.5333,-149.3333,87.82,77,93,17.29
115,Egvekinot,RU,2022-01-25 22:41:57,66.3167,-179.1667,-28.03,88,90,1.23
116,Westport,US,2022-01-25 22:41:58,41.1415,-73.3579,39.34,59,0,1.01
117,Katangli,RU,2022-01-25 22:41:58,51.7102,143.2326,-5.44,97,48,7.61
118,Tuatapere,NZ,2022-01-25 22:41:59,-46.1333,167.6833,51.82,92,100,7.83
119,Kostelec Nad Cernymi Lesy,CZ,2022-01-25 22:41:59,49.994,14.8592,35.29,82,100,5.12
120,Abu Dhabi,AE,2022-01-25 22:41:37,24.4667,54.3667,66.96,82,0,3.44
121,Ribeira Grande,PT,2022-01-25 22:42:00,38.5167,-28.7,59.67,75,99,5.86
